entity_id,state,last_changed
sensor.tigo_ts4_c4_daily_energy,432.05,2026-03-07T10:07:05.241Z
sensor.tigo_ts4_c4_daily_energy,432.35,2026-03-07T10:07:09.175Z
sensor.tigo_ts4_c4_daily_energy,432.64,2026-03-07T10:07:13.051Z
sensor.tigo_ts4_c4_daily_energy,432.93,2026-03-07T10:07:16.993Z
sensor.tigo_ts4_c4_daily_energy,433.25,2026-03-07T10:07:21.150Z
sensor.tigo_ts4_c4_daily_energy,433.56,2026-03-07T10:07:25.342Z
sensor.tigo_ts4_c4_daily_energy,433.86,2026-03-07T10:07:29.313Z
sensor.tigo_ts4_c4_daily_energy,434.14,2026-03-07T10:07:33.173Z
sensor.tigo_ts4_c4_daily_energy,434.43,2026-03-07T10:07:37.044Z
sensor.tigo_ts4_c4_daily_energy,434.76,2026-03-07T10:07:41.385Z
sensor.tigo_ts4_c4_daily_energy,435.08,2026-03-07T10:07:45.684Z
sensor.tigo_ts4_c4_daily_energy,435.36,2026-03-07T10:07:49.432Z
sensor.tigo_ts4_c4_daily_energy,435.98,2026-03-07T10:07:57.631Z
sensor.tigo_ts4_c4_daily_energy,436.37,2026-03-07T10:08:02.843Z
sensor.tigo_ts4_c4_daily_energy,436.55,2026-03-07T10:08:05.243Z
sensor.tigo_ts4_c4_daily_energy,436.84,2026-03-07T10:08:09.168Z
sensor.tigo_ts4_c4_daily_energy,437.13,2026-03-07T10:08:13.054Z
sensor.tigo_ts4_c4_daily_energy,437.43,2026-03-07T10:08:17.020Z
sensor.tigo_ts4_c4_daily_energy,437.74,2026-03-07T10:08:21.182Z
sensor.tigo_ts4_c4_daily_energy,438.05,2026-03-07T10:08:25.351Z
sensor.tigo_ts4_c4_daily_energy,438.34,2026-03-07T10:08:29.305Z
sensor.tigo_ts4_c4_daily_energy,438.63,2026-03-07T10:08:33.176Z
sensor.tigo_ts4_c4_daily_energy,438.93,2026-03-07T10:08:37.054Z
sensor.tigo_ts4_c4_daily_energy,439.25,2026-03-07T10:08:41.368Z
sensor.tigo_ts4_c4_daily_energy,439.56,2026-03-07T10:08:45.443Z
sensor.tigo_ts4_c4_daily_energy,439.85,2026-03-07T10:08:49.445Z
sensor.tigo_ts4_c4_daily_energy,440.13,2026-03-07T10:08:53.091Z
sensor.tigo_ts4_c4_daily_energy,440.47,2026-03-07T10:08:57.594Z
sensor.tigo_ts4_c4_daily_energy,440.76,2026-03-07T10:09:01.534Z
sensor.tigo_ts4_c4_daily_energy,441.04,2026-03-07T10:09:05.220Z
sensor.tigo_ts4_c4_daily_energy,441.33,2026-03-07T10:09:09.173Z
sensor.tigo_ts4_c4_daily_energy,441.62,2026-03-07T10:09:12.984Z
sensor.tigo_ts4_c4_daily_energy,441.92,2026-03-07T10:09:17.000Z
sensor.tigo_ts4_c4_daily_energy,442.24,2026-03-07T10:09:21.148Z
sensor.tigo_ts4_c4_daily_energy,442.55,2026-03-07T10:09:25.350Z
sensor.tigo_ts4_c4_daily_energy,442.85,2026-03-07T10:09:29.303Z
sensor.tigo_ts4_c4_daily_energy,443.14,2026-03-07T10:09:33.185Z
sensor.tigo_ts4_c4_daily_energy,443.43,2026-03-07T10:09:37.037Z
sensor.tigo_ts4_c4_daily_energy,443.76,2026-03-07T10:09:41.347Z
sensor.tigo_ts4_c4_daily_energy,444.07,2026-03-07T10:09:45.482Z
sensor.tigo_ts4_c4_daily_energy,444.37,2026-03-07T10:09:49.437Z
sensor.tigo_ts4_c4_daily_energy,444.65,2026-03-07T10:09:53.118Z
sensor.tigo_ts4_c4_daily_energy,444.99,2026-03-07T10:09:57.628Z
sensor.tigo_ts4_c4_daily_energy,445.29,2026-03-07T10:10:01.539Z
sensor.tigo_ts4_c4_daily_energy,445.57,2026-03-07T10:10:05.247Z
sensor.tigo_ts4_c4_daily_energy,445.87,2026-03-07T10:10:09.178Z
sensor.tigo_ts4_c4_daily_energy,446.16,2026-03-07T10:10:12.989Z
sensor.tigo_ts4_c4_daily_energy,446.47,2026-03-07T10:10:17.004Z
sensor.tigo_ts4_c4_daily_energy,446.78,2026-03-07T10:10:21.173Z
sensor.tigo_ts4_c4_daily_energy,447.1,2026-03-07T10:10:25.318Z
sensor.tigo_ts4_c4_daily_energy,447.4,2026-03-07T10:10:29.295Z
sensor.tigo_ts4_c4_daily_energy,447.69,2026-03-07T10:10:33.152Z
sensor.tigo_ts4_c4_daily_energy,447.99,2026-03-07T10:10:37.106Z
sensor.tigo_ts4_c4_daily_energy,448.31,2026-03-07T10:10:41.364Z
sensor.tigo_ts4_c4_daily_energy,448.72,2026-03-07T10:10:46.800Z
sensor.tigo_ts4_c4_daily_energy,448.93,2026-03-07T10:10:49.455Z
sensor.tigo_ts4_c4_daily_energy,449.2,2026-03-07T10:10:53.087Z
sensor.tigo_ts4_c4_daily_energy,449.55,2026-03-07T10:10:57.666Z
sensor.tigo_ts4_c4_daily_energy,449.84,2026-03-07T10:11:01.573Z
sensor.tigo_ts4_c4_daily_energy,450.12,2026-03-07T10:11:05.201Z
sensor.tigo_ts4_c4_daily_energy,450.42,2026-03-07T10:11:09.199Z
sensor.tigo_ts4_c4_daily_energy,450.71,2026-03-07T10:11:12.970Z
sensor.tigo_ts4_c4_daily_energy,451.01,2026-03-07T10:11:17.020Z
sensor.tigo_ts4_c4_daily_energy,451.32,2026-03-07T10:11:21.130Z
sensor.tigo_ts4_c4_daily_energy,451.64,2026-03-07T10:11:25.369Z
sensor.tigo_ts4_c4_daily_energy,451.94,2026-03-07T10:11:29.295Z
sensor.tigo_ts4_c4_daily_energy,452.23,2026-03-07T10:11:33.114Z
sensor.tigo_ts4_c4_daily_energy,452.52,2026-03-07T10:11:37.034Z
sensor.tigo_ts4_c4_daily_energy,452.85,2026-03-07T10:11:41.372Z
sensor.tigo_ts4_c4_daily_energy,453.16,2026-03-07T10:11:45.454Z
sensor.tigo_ts4_c4_daily_energy,453.46,2026-03-07T10:11:49.453Z
sensor.tigo_ts4_c4_daily_energy,453.74,2026-03-07T10:11:53.113Z
sensor.tigo_ts4_c4_daily_energy,454.08,2026-03-07T10:11:57.568Z
sensor.tigo_ts4_c4_daily_energy,454.96,2026-03-07T10:12:09.187Z
sensor.tigo_ts4_c4_daily_energy,455.25,2026-03-07T10:12:13.089Z
sensor.tigo_ts4_c4_daily_energy,455.55,2026-03-07T10:12:16.997Z
sensor.tigo_ts4_c4_daily_energy,455.86,2026-03-07T10:12:21.137Z
sensor.tigo_ts4_c4_daily_energy,456.18,2026-03-07T10:12:25.359Z
sensor.tigo_ts4_c4_daily_energy,456.48,2026-03-07T10:12:29.302Z
sensor.tigo_ts4_c4_daily_energy,456.77,2026-03-07T10:12:33.164Z
sensor.tigo_ts4_c4_daily_energy,457.06,2026-03-07T10:12:37.050Z
sensor.tigo_ts4_c4_daily_energy,457.39,2026-03-07T10:12:41.373Z
sensor.tigo_ts4_c4_daily_energy,457.7,2026-03-07T10:12:45.505Z
sensor.tigo_ts4_c4_daily_energy,458.0,2026-03-07T10:12:49.429Z
sensor.tigo_ts4_c4_daily_energy,458.28,2026-03-07T10:12:53.126Z
sensor.tigo_ts4_c4_daily_energy,458.91,2026-03-07T10:13:01.582Z
sensor.tigo_ts4_c4_daily_energy,459.19,2026-03-07T10:13:05.245Z
sensor.tigo_ts4_c4_daily_energy,459.49,2026-03-07T10:13:09.183Z
sensor.tigo_ts4_c4_daily_energy,459.78,2026-03-07T10:13:13.039Z
sensor.tigo_ts4_c4_daily_energy,460.08,2026-03-07T10:13:17.003Z
sensor.tigo_ts4_c4_daily_energy,460.4,2026-03-07T10:13:21.213Z
sensor.tigo_ts4_c4_daily_energy,460.71,2026-03-07T10:13:25.357Z
sensor.tigo_ts4_c4_daily_energy,461.01,2026-03-07T10:13:29.320Z
sensor.tigo_ts4_c4_daily_energy,461.31,2026-03-07T10:13:33.180Z
sensor.tigo_ts4_c4_daily_energy,461.6,2026-03-07T10:13:37.060Z
sensor.tigo_ts4_c4_daily_energy,462.44,2026-03-07T10:13:48.163Z
sensor.tigo_ts4_c4_daily_energy,462.55,2026-03-07T10:13:49.511Z
sensor.tigo_ts4_c4_daily_energy,462.82,2026-03-07T10:13:53.092Z
sensor.tigo_ts4_c4_daily_energy,463.15,2026-03-07T10:13:57.566Z
sensor.tigo_ts4_c4_daily_energy,463.45,2026-03-07T10:14:01.544Z
sensor.tigo_ts4_c4_daily_energy,463.46,2026-03-07T10:14:01.548Z
sensor.tigo_ts4_c4_daily_energy,463.73,2026-03-07T10:14:05.221Z
sensor.tigo_ts4_c4_daily_energy,464.03,2026-03-07T10:14:09.199Z
sensor.tigo_ts4_c4_daily_energy,464.32,2026-03-07T10:14:12.987Z
sensor.tigo_ts4_c4_daily_energy,464.62,2026-03-07T10:14:17.004Z
sensor.tigo_ts4_c4_daily_energy,465.24,2026-03-07T10:14:25.341Z
sensor.tigo_ts4_c4_daily_energy,465.54,2026-03-07T10:14:29.312Z
sensor.tigo_ts4_c4_daily_energy,465.82,2026-03-07T10:14:33.174Z
sensor.tigo_ts4_c4_daily_energy,466.11,2026-03-07T10:14:37.055Z
sensor.tigo_ts4_c4_daily_energy,466.43,2026-03-07T10:14:41.377Z
sensor.tigo_ts4_c4_daily_energy,466.73,2026-03-07T10:14:45.477Z
sensor.tigo_ts4_c4_daily_energy,467.02,2026-03-07T10:14:49.434Z
sensor.tigo_ts4_c4_daily_energy,467.28,2026-03-07T10:14:53.114Z
sensor.tigo_ts4_c4_daily_energy,467.61,2026-03-07T10:14:57.598Z
sensor.tigo_ts4_c4_daily_energy,467.89,2026-03-07T10:15:01.544Z
sensor.tigo_ts4_c4_daily_energy,468.16,2026-03-07T10:15:05.200Z
sensor.tigo_ts4_c4_daily_energy,468.45,2026-03-07T10:15:09.196Z
sensor.tigo_ts4_c4_daily_energy,468.73,2026-03-07T10:15:13.055Z
sensor.tigo_ts4_c4_daily_energy,469.01,2026-03-07T10:15:17.002Z
sensor.tigo_ts4_c4_daily_energy,469.31,2026-03-07T10:15:21.176Z
sensor.tigo_ts4_c4_daily_energy,469.88,2026-03-07T10:15:29.324Z
sensor.tigo_ts4_c4_daily_energy,470.16,2026-03-07T10:15:33.189Z
sensor.tigo_ts4_c4_daily_energy,470.43,2026-03-07T10:15:37.044Z
sensor.tigo_ts4_c4_daily_energy,470.74,2026-03-07T10:15:41.383Z
sensor.tigo_ts4_c4_daily_energy,471.03,2026-03-07T10:15:45.491Z
sensor.tigo_ts4_c4_daily_energy,471.31,2026-03-07T10:15:49.432Z
sensor.tigo_ts4_c4_daily_energy,471.56,2026-03-07T10:15:53.122Z
sensor.tigo_ts4_c4_daily_energy,471.88,2026-03-07T10:15:57.614Z
sensor.tigo_ts4_c4_daily_energy,472.16,2026-03-07T10:16:01.573Z
sensor.tigo_ts4_c4_daily_energy,472.42,2026-03-07T10:16:05.230Z
sensor.tigo_ts4_c4_daily_energy,472.7,2026-03-07T10:16:09.203Z
sensor.tigo_ts4_c4_daily_energy,472.97,2026-03-07T10:16:13.051Z
sensor.tigo_ts4_c4_daily_energy,473.24,2026-03-07T10:16:17.011Z
sensor.tigo_ts4_c4_daily_energy,473.55,2026-03-07T10:16:21.306Z
sensor.tigo_ts4_c4_daily_energy,473.84,2026-03-07T10:16:25.403Z
sensor.tigo_ts4_c4_daily_energy,474.12,2026-03-07T10:16:29.422Z
sensor.tigo_ts4_c4_daily_energy,474.38,2026-03-07T10:16:33.131Z
sensor.tigo_ts4_c4_daily_energy,474.66,2026-03-07T10:16:37.088Z
sensor.tigo_ts4_c4_daily_energy,474.97,2026-03-07T10:16:41.367Z
sensor.tigo_ts4_c4_daily_energy,475.26,2026-03-07T10:16:45.533Z
sensor.tigo_ts4_c4_daily_energy,475.54,2026-03-07T10:16:49.551Z
sensor.tigo_ts4_c4_daily_energy,475.8,2026-03-07T10:16:53.219Z
sensor.tigo_ts4_c4_daily_energy,476.11,2026-03-07T10:16:57.681Z
sensor.tigo_ts4_c4_daily_energy,476.39,2026-03-07T10:17:01.668Z
sensor.tigo_ts4_c4_daily_energy,476.93,2026-03-07T10:17:09.286Z
sensor.tigo_ts4_c4_daily_energy,477.2,2026-03-07T10:17:13.057Z
sensor.tigo_ts4_c4_daily_energy,477.48,2026-03-07T10:17:17.005Z
sensor.tigo_ts4_c4_daily_energy,477.78,2026-03-07T10:17:21.131Z
sensor.tigo_ts4_c4_daily_energy,478.08,2026-03-07T10:17:25.337Z
sensor.tigo_ts4_c4_daily_energy,478.37,2026-03-07T10:17:29.306Z
sensor.tigo_ts4_c4_daily_energy,478.64,2026-03-07T10:17:33.104Z
sensor.tigo_ts4_c4_daily_energy,478.93,2026-03-07T10:17:37.061Z
sensor.tigo_ts4_c4_daily_energy,479.24,2026-03-07T10:17:41.371Z
sensor.tigo_ts4_c4_daily_energy,479.53,2026-03-07T10:17:45.490Z
sensor.tigo_ts4_c4_daily_energy,479.82,2026-03-07T10:17:49.450Z
sensor.tigo_ts4_c4_daily_energy,480.08,2026-03-07T10:17:53.127Z
sensor.tigo_ts4_c4_daily_energy,480.4,2026-03-07T10:17:57.638Z
sensor.tigo_ts4_c4_daily_energy,480.95,2026-03-07T10:18:05.224Z
sensor.tigo_ts4_c4_daily_energy,480.96,2026-03-07T10:18:05.280Z
sensor.tigo_ts4_c4_daily_energy,481.24,2026-03-07T10:18:09.182Z
sensor.tigo_ts4_c4_daily_energy,481.52,2026-03-07T10:18:13.028Z
sensor.tigo_ts4_c4_daily_energy,481.81,2026-03-07T10:18:17.000Z
sensor.tigo_ts4_c4_daily_energy,482.11,2026-03-07T10:18:21.121Z
sensor.tigo_ts4_c4_daily_energy,482.44,2026-03-07T10:18:25.602Z
sensor.tigo_ts4_c4_daily_energy,482.72,2026-03-07T10:18:29.312Z
sensor.tigo_ts4_c4_daily_energy,483.01,2026-03-07T10:18:33.166Z
sensor.tigo_ts4_c4_daily_energy,483.3,2026-03-07T10:18:37.046Z
sensor.tigo_ts4_c4_daily_energy,483.66,2026-03-07T10:18:41.865Z
sensor.tigo_ts4_c4_daily_energy,483.94,2026-03-07T10:18:45.485Z
sensor.tigo_ts4_c4_daily_energy,484.23,2026-03-07T10:18:49.449Z
sensor.tigo_ts4_c4_daily_energy,484.51,2026-03-07T10:18:53.113Z
sensor.tigo_ts4_c4_daily_energy,484.84,2026-03-07T10:18:57.628Z
sensor.tigo_ts4_c4_daily_energy,485.14,2026-03-07T10:19:01.586Z
sensor.tigo_ts4_c4_daily_energy,485.41,2026-03-07T10:19:05.246Z
sensor.tigo_ts4_c4_daily_energy,485.7,2026-03-07T10:19:09.202Z
sensor.tigo_ts4_c4_daily_energy,485.98,2026-03-07T10:19:13.004Z
sensor.tigo_ts4_c4_daily_energy,486.28,2026-03-07T10:19:17.016Z
sensor.tigo_ts4_c4_daily_energy,486.58,2026-03-07T10:19:21.119Z
sensor.tigo_ts4_c4_daily_energy,486.93,2026-03-07T10:19:25.991Z
sensor.tigo_ts4_c4_daily_energy,487.18,2026-03-07T10:19:29.318Z
sensor.tigo_ts4_c4_daily_energy,487.46,2026-03-07T10:19:33.117Z
sensor.tigo_ts4_c4_daily_energy,487.75,2026-03-07T10:19:37.065Z
sensor.tigo_ts4_c4_daily_energy,488.06,2026-03-07T10:19:41.376Z
sensor.tigo_ts4_c4_daily_energy,488.37,2026-03-07T10:19:45.478Z
sensor.tigo_ts4_c4_daily_energy,488.66,2026-03-07T10:19:49.461Z
sensor.tigo_ts4_c4_daily_energy,488.93,2026-03-07T10:19:53.092Z
sensor.tigo_ts4_c4_daily_energy,489.27,2026-03-07T10:19:57.660Z
sensor.tigo_ts4_c4_daily_energy,489.64,2026-03-07T10:20:02.584Z
sensor.tigo_ts4_c4_daily_energy,489.84,2026-03-07T10:20:05.262Z
sensor.tigo_ts4_c4_daily_energy,490.13,2026-03-07T10:20:09.194Z
sensor.tigo_ts4_c4_daily_energy,490.41,2026-03-07T10:20:12.991Z
sensor.tigo_ts4_c4_daily_energy,490.71,2026-03-07T10:20:17.006Z
sensor.tigo_ts4_c4_daily_energy,491.02,2026-03-07T10:20:21.192Z
sensor.tigo_ts4_c4_daily_energy,491.33,2026-03-07T10:20:25.358Z
sensor.tigo_ts4_c4_daily_energy,491.91,2026-03-07T10:20:33.184Z
sensor.tigo_ts4_c4_daily_energy,492.19,2026-03-07T10:20:37.032Z
sensor.tigo_ts4_c4_daily_energy,492.51,2026-03-07T10:20:41.310Z
sensor.tigo_ts4_c4_daily_energy,492.81,2026-03-07T10:20:45.496Z
sensor.tigo_ts4_c4_daily_energy,493.1,2026-03-07T10:20:49.429Z
sensor.tigo_ts4_c4_daily_energy,493.38,2026-03-07T10:20:53.134Z
sensor.tigo_ts4_c4_daily_energy,493.7,2026-03-07T10:20:57.575Z
sensor.tigo_ts4_c4_daily_energy,493.99,2026-03-07T10:21:01.556Z
sensor.tigo_ts4_c4_daily_energy,494.26,2026-03-07T10:21:05.197Z
sensor.tigo_ts4_c4_daily_energy,494.55,2026-03-07T10:21:09.176Z
sensor.tigo_ts4_c4_daily_energy,494.83,2026-03-07T10:21:13.003Z
sensor.tigo_ts4_c4_daily_energy,495.13,2026-03-07T10:21:17.018Z
sensor.tigo_ts4_c4_daily_energy,495.44,2026-03-07T10:21:21.156Z
sensor.tigo_ts4_c4_daily_energy,495.75,2026-03-07T10:21:25.361Z
sensor.tigo_ts4_c4_daily_energy,496.04,2026-03-07T10:21:29.330Z
sensor.tigo_ts4_c4_daily_energy,496.33,2026-03-07T10:21:33.172Z
sensor.tigo_ts4_c4_daily_energy,496.62,2026-03-07T10:21:37.041Z
sensor.tigo_ts4_c4_daily_energy,497.04,2026-03-07T10:21:42.666Z
sensor.tigo_ts4_c4_daily_energy,497.24,2026-03-07T10:21:45.474Z
sensor.tigo_ts4_c4_daily_energy,497.54,2026-03-07T10:21:49.443Z
sensor.tigo_ts4_c4_daily_energy,497.81,2026-03-07T10:21:53.125Z
sensor.tigo_ts4_c4_daily_energy,498.14,2026-03-07T10:21:57.580Z
